,Model,Accuracy,Precision_w,Recall_w,F1-Score_w,Precision_m,Recall_m,F1-Score_m,Cohen's Kappa,Matthews Corr. Coef.,Log Loss,Balanced Accuracy
35,FinalDataNewModelPickleFile_a\F_Model_41_Kernel_sigmoid_C_0.01_gamma_scale_decision_ovo_degree_2.pkl,0.22861465114146878,0.3254287647676043,0.22861465114146878,0.23357190989954013,0.32159173211764147,0.23155466651624296,0.2337760041672309,0.0408349260028088,0.04399866385622023,NA,0.23155466651624296
36,FinalDataNewModelPickleFile_a\F_Model_42_Kernel_rbf_C_0.01_gamma_0.01_decision_ovo_degree_3.pkl,0.4299990831576052,0.8066727176645565,0.4299990831576052,0.4480880164459609,0.794085010004262,0.4403154923107834,0.447148938982853,0.2964305307558893,0.3965755372342519,NA,0.4403154923107834
37,FinalDataNewModelPickleFile_a\F_Model_43_Kernel_poly_C_0.01_gamma_0.01_decision_ovo_degree_3.pkl,0.20716053910332813,0.042915488961581545,0.20716053910332813,0.07110154378216989,0.04143210782066563,0.2,0.06864390688489727,0.0,0.0,NA,0.2
38,FinalDataNewModelPickleFile_a\F_Model_44_Kernel_sigmoid_C_0.01_gamma_0.01_decision_ovo_degree_3.pkl,0.4111579719446227,0.7356497473204683,0.4111579719446227,0.4295255802071765,0.7215113517463586,0.41889046313654443,0.42794400806786603,0.27178704442507406,0.3184115285981704,NA,0.41889046313654443
39,FinalDataNewModelPickleFile_a\F_Model_45_Kernel_rbf_C_0.01_gamma_0.1_decision_ovo_degree_3.pkl,0.6135509305950307,0.8586604116780263,0.6135509305950307,0.6276421038064952,0.848207443619674,0.6226879138251002,0.6267093332383336,0.5212652167631393,0.5916625094280084,NA,0.6226879138251002
40,FinalDataNewModelPickleFile_a\F_Model_46_Kernel_poly_C_0.01_gamma_0.1_decision_ovo_degree_3.pkl,0.4339873475749519,0.8606653022420298,0.4339873475749519,0.45447354764215087,0.8492337749557362,0.4448030639920743,0.45369949882459554,0.3016261309584297,0.42148653163015454,NA,0.4448030639920743
41,FinalDataNewModelPickleFile_a\F_Model_47_Kernel_sigmoid_C_0.01_gamma_0.1_decision_ovo_degree_3.pkl,0.36884569542495643,0.5531483355381869,0.36884569542495643,0.4123837630241002,0.5421043684563076,0.3669353506665158,0.406992926951227,0.21442530926578285,0.22739167690043266,NA,0.3669353506665158
42,FinalDataNewModelPickleFile_a\F_Model_48_Kernel_rbf_C_0.01_gamma_1_decision_ovo_degree_3.pkl,0.7785367195379115,0.8521317701802466,0.7785367195379115,0.7892397723589036,0.8462797883401187,0.7826530820881441,0.7873813884846853,0.7242022267623125,0.7433549945515848,NA,0.7826530820881441
43,FinalDataNewModelPickleFile_a\F_Model_49_Kernel_poly_C_0.01_gamma_1_decision_ovo_degree_3.pkl,0.6073622444301825,0.7665719966454028,0.6073622444301825,0.6161162056467288,0.7581885299980085,0.6167413966113007,0.6160318329412524,0.5130087969310477,0.5575098934832539,NA,0.6167413966113007
44,FinalDataNewModelPickleFile_a\F_Model_4_Kernel_poly_C_0.01_gamma_0.1_decision_ovo_degree_1.pkl,0.41129549830384154,0.7358767950527995,0.41129549830384154,0.42965572329964197,0.721742496827822,0.41904204839407677,0.42807733861122454,0.2719661655739404,0.3187955432369803,NA,0.41904204839407677
45,FinalDataNewModelPickleFile_a\F_Model_50_Kernel_sigmoid_C_0.01_gamma_1_decision_ovo_degree_3.pkl,0.21752085816448152,0.30769048197367366,0.21752085816448152,0.21636070978609645,0.3029566348979006,0.21921478679267786,0.2161202569366913,0.026009224943582265,0.02719695108623927,NA,0.21921478679267786
46,FinalDataNewModelPickleFile_a\F_Model_51_Kernel_rbf_C_0.01_gamma_10_decision_ovo_degree_3.pkl,0.9387090859081324,0.9459873152220096,0.9387090859081324,0.9398474631497014,0.9433759973720418,0.9398196350034524,0.9389672806797525,0.9234310830461882,0.9248300354148229,NA,0.9398196350034524
47,FinalDataNewModelPickleFile_a\F_Model_52_Kernel_poly_C_0.01_gamma_10_decision_ovo_degree_3.pkl,0.7167873842486476,0.7972014575569287,0.7167873842486476,0.7270258689930611,0.7914952591602077,0.7220160697475629,0.7259215995576405,0.6474735971201248,0.6675376682950552,NA,0.7220160697475629
48,FinalDataNewModelPickleFile_a\F_Model_53_Kernel_sigmoid_C_0.01_gamma_10_decision_ovo_degree_3.pkl,0.17351242321444943,0.40634961997249136,0.17351242321444943,0.17253841248369545,0.39835320230265225,0.17743025303721777,0.17305090433717218,-0.024754138297273576,-0.027527188338112022,NA,0.17743025303721777
49,FinalDataNewModelPickleFile_a\F_Model_54_Kernel_rbf_C_0.01_gamma_100_decision_ovo_degree_3.pkl,0.9764371504538369,0.9770341856368236,0.9764371504538369,0.9765025147607207,0.9762682887726726,0.9767974811757231,0.9762872120278615,0.9705409230638429,0.9706570040964142,NA,0.9767974811757231
50,FinalDataNewModelPickleFile_a\F_Model_5_Kernel_sigmoid_C_0.01_gamma_0.1_decision_ovo_degree_1.pkl,0.36884569542495643,0.5531483355381869,0.36884569542495643,0.4123837630241002,0.5421043684563076,0.3669353506665158,0.406992926951227,0.21442530926578285,0.22739167690043266,NA,0.3669353506665158
51,FinalDataNewModelPickleFile_a\F_Model_6_Kernel_rbf_C_0.01_gamma_1_decision_ovo_degree_1.pkl,0.7785367195379115,0.8521317701802466,0.7785367195379115,0.7892397723589036,0.8462797883401187,0.7826530820881441,0.7873813884846853,0.7242022267623125,0.7433549945515848,NA,0.7826530820881441
52,FinalDataNewModelPickleFile_a\F_Model_7_Kernel_poly_C_0.01_gamma_1_decision_ovo_degree_1.pkl,0.41129549830384154,0.7358767950527995,0.41129549830384154,0.42965572329964197,0.721742496827822,0.41904204839407677,0.42807733861122454,0.2719661655739404,0.3187955432369803,NA,0.41904204839407677
53,FinalDataNewModelPickleFile_a\F_Model_8_Kernel_sigmoid_C_0.01_gamma_1_decision_ovo_degree_1.pkl,0.21752085816448152,0.30769048197367366,0.21752085816448152,0.21636070978609645,0.3029566348979006,0.21921478679267786,0.2161202569366913,0.026009224943582265,0.02719695108623927,NA,0.21921478679267786
54,FinalDataNewModelPickleFile_a\F_Model_9_Kernel_rbf_C_0.01_gamma_10_decision_ovo_degree_1.pkl,0.9387090859081324,0.9459873152220096,0.9387090859081324,0.9398474631497014,0.9433759973720418,0.9398196350034524,0.9389672806797525,0.9234310830461882,0.9248300354148229,NA,0.9398196350034524
55,FinalDataNewModelPickleFile_a\Model_0_Kernel_rbf_C_0.01_gamma_0.01_decision_ovo_degree_1.pkl,0.4327037682222426,0.8605876512142429,0.4327037682222426,0.4529240481191555,0.8491497531541417,0.44349189564742436,0.4521106373220185,0.30005453387098513,0.4201789961274604,NA,0.44349189564742436
56,FinalDataNewModelPickleFile_a\Model_10_Kernel_poly_C_0.01_gamma_10_decision_ovo_degree_1.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
57,FinalDataNewModelPickleFile_a\Model_11_Kernel_sigmoid_C_0.01_gamma_10_decision_ovo_degree_1.pkl,0.18391858439534245,0.2616332938433667,0.18391858439534245,0.1478095678380964,0.25807514329385683,0.1908626822497163,0.14987706305119858,-0.010797220683704367,-0.012553568862161772,NA,0.1908626822497163
58,FinalDataNewModelPickleFile_a\Model_12_Kernel_rbf_C_0.01_gamma_100_decision_ovo_degree_1.pkl,0.8055377280645457,0.8469576810036951,0.8055377280645457,0.8016746940146026,0.8485090707307045,0.8099127672201363,0.805326168314448,0.7569053834568832,0.7706991008480257,NA,0.8099127672201363
59,FinalDataNewModelPickleFile_a\Model_13_Kernel_poly_C_0.01_gamma_100_decision_ovo_degree_1.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
60,FinalDataNewModelPickleFile_a\Model_14_Kernel_sigmoid_C_0.01_gamma_100_decision_ovo_degree_1.pkl,0.18231411020445584,0.30571821288125445,0.18231411020445584,0.15478083507238313,0.3005205304696892,0.18840811703247923,0.15612655905338768,-0.010991002661360882,-0.013177306529223245,NA,0.18840811703247923
61,FinalDataNewModelPickleFile_a\Model_15_Kernel_rbf_C_0.01_gamma_1000_decision_ovo_degree_1.pkl,0.25598239662602,0.8033841851812018,0.25598239662602,0.18989204360327633,0.7928645035830941,0.27040182636632537,0.1935934759856472,0.08575126723362214,0.20391102083224932,NA,0.27040182636632537
62,FinalDataNewModelPickleFile_a\Model_16_Kernel_poly_C_0.01_gamma_1000_decision_ovo_degree_1.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
63,FinalDataNewModelPickleFile_a\Model_17_Kernel_sigmoid_C_0.01_gamma_1000_decision_ovo_degree_1.pkl,0.18969469148253415,0.2280144746072066,0.18969469148253415,0.16846249868355131,0.2246771052589945,0.19331636288544274,0.16816346981366834,-0.004790859048690255,-0.005522786263392622,NA,0.19331636288544274
64,FinalDataNewModelPickleFile_a\Model_18_Kernel_rbf_C_0.01_gamma_scale_decision_ovo_degree_1.pkl,0.6601723663702209,0.8703479407502434,0.6601723663702209,0.6752282628780005,0.860894540224802,0.6678330015096663,0.6737080570311795,0.5785341916974266,0.6404428174971394,NA,0.6678330015096663
65,FinalDataNewModelPickleFile_a\Model_19_Kernel_poly_C_0.01_gamma_scale_decision_ovo_degree_1.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
66,FinalDataNewModelPickleFile_a\Model_1_Kernel_poly_C_0.01_gamma_0.01_decision_ovo_degree_1.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
67,FinalDataNewModelPickleFile_a\Model_20_Kernel_sigmoid_C_0.01_gamma_scale_decision_ovo_degree_1.pkl,0.30329146419730446,0.3828490035872351,0.30329146419730446,0.29733388728251353,0.37666307316623215,0.30784928131222383,0.29627563085680453,0.1355381318034089,0.14691634033289414,NA,0.30784928131222383
68,FinalDataNewModelPickleFile_a\Model_21_Kernel_rbf_C_0.01_gamma_0.01_decision_ovo_degree_2.pkl,0.4327037682222426,0.8605876512142429,0.4327037682222426,0.4529240481191555,0.8491497531541417,0.44349189564742436,0.4521106373220185,0.30005453387098513,0.4201789961274604,NA,0.44349189564742436
69,FinalDataNewModelPickleFile_a\Model_22_Kernel_poly_C_0.01_gamma_0.01_decision_ovo_degree_2.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
70,FinalDataNewModelPickleFile_a\Model_23_Kernel_sigmoid_C_0.01_gamma_0.01_decision_ovo_degree_2.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
71,FinalDataNewModelPickleFile_a\Model_24_Kernel_rbf_C_0.01_gamma_0.1_decision_ovo_degree_2.pkl,0.5921426606766297,0.8680023945099359,0.5921426606766297,0.6088413448894777,0.8574860130208103,0.6016059914679202,0.6080291355031048,0.4950603179318317,0.575431295510959,NA,0.6016059914679202
72,FinalDataNewModelPickleFile_a\Model_25_Kernel_poly_C_0.01_gamma_0.1_decision_ovo_degree_2.pkl,0.5368570642706518,0.8628370120314296,0.5368570642706518,0.5614863624085701,0.8519052029649978,0.5468102866507528,0.5605763335219458,0.4272903987953711,0.521324769685916,NA,0.5468102866507528
73,FinalDataNewModelPickleFile_a\Model_26_Kernel_sigmoid_C_0.01_gamma_0.1_decision_ovo_degree_2.pkl,0.44494361419272027,0.5787604051834814,0.44494361419272027,0.4340067150211471,0.5676998225521179,0.44999285456308913,0.4290677503320019,0.31276116841922386,0.38220098758092425,NA,0.44999285456308913
74,FinalDataNewModelPickleFile_a\Model_27_Kernel_rbf_C_0.01_gamma_1_decision_ovo_degree_2.pkl,0.7590538186485744,0.8606237288111321,0.7590538186485744,0.7725046810067073,0.8536791084974096,0.7640467412652769,0.7704457507576856,0.700238950749799,0.7282152018316176,NA,0.7640467412652769
75,FinalDataNewModelPickleFile_a\Model_28_Kernel_poly_C_0.01_gamma_1_decision_ovo_degree_2.pkl,0.676308792518566,0.8115335347247616,0.676308792518566,0.6918077909479798,0.8045147933004824,0.68328056763184,0.6904586375629689,0.5979377909964696,0.6384291819126615,NA,0.68328056763184
76,FinalDataNewModelPickleFile_a\Model_29_Kernel_sigmoid_C_0.01_gamma_1_decision_ovo_degree_2.pkl,0.2472723938754928,0.37020433942096137,0.2472723938754928,0.22662165104643595,0.36364810371093287,0.2546449367975228,0.22738412626363744,0.06809131964027837,0.07803906462981826,NA,0.2546449367975228
77,FinalDataNewModelPickleFile_a\Model_2_Kernel_sigmoid_C_0.01_gamma_0.01_decision_ovo_degree_1.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
78,FinalDataNewModelPickleFile_a\Model_30_Kernel_rbf_C_0.01_gamma_10_decision_ovo_degree_2.pkl,0.9018978637572201,0.9184368604482578,0.9018978637572201,0.9043015922264385,0.91496665073676,0.9037889398933832,0.9032138245370245,0.877520154139924,0.8810728965823604,NA,0.9037889398933832
79,FinalDataNewModelPickleFile_a\Model_31_Kernel_poly_C_0.01_gamma_10_decision_ovo_degree_2.pkl,0.7176583845237003,0.7980355649859328,0.7176583845237003,0.7258538239163529,0.7924506302277952,0.7233943317228411,0.7247863068657608,0.6486571614528536,0.671799962350455,NA,0.7233943317228411
80,FinalDataNewModelPickleFile_a\Model_32_Kernel_sigmoid_C_0.01_gamma_10_decision_ovo_degree_2.pkl,0.18391858439534245,0.2616332938433667,0.18391858439534245,0.1478095678380964,0.25807514329385683,0.1908626822497163,0.14987706305119858,-0.010797220683704367,-0.012553568862161772,NA,0.1908626822497163
81,FinalDataNewModelPickleFile_a\Model_33_Kernel_rbf_C_0.01_gamma_100_decision_ovo_degree_2.pkl,0.8055377280645457,0.8469576810036951,0.8055377280645457,0.8016746940146026,0.8485090707307045,0.8099127672201363,0.805326168314448,0.7569053834568832,0.7706991008480257,NA,0.8099127672201363
82,FinalDataNewModelPickleFile_a\Model_34_Kernel_poly_C_0.01_gamma_100_decision_ovo_degree_2.pkl,0.7188961217566701,0.7979357447536028,0.7188961217566701,0.7269202743869576,0.7924060760837481,0.724597412364225,0.7258680353326445,0.6501806646332233,0.6729531483007002,NA,0.724597412364225
83,FinalDataNewModelPickleFile_a\Model_35_Kernel_sigmoid_C_0.01_gamma_100_decision_ovo_degree_2.pkl,0.18231411020445584,0.30571821288125445,0.18231411020445584,0.15478083507238313,0.3005205304696892,0.18840811703247923,0.15612655905338768,-0.010991002661360882,-0.013177306529223245,NA,0.18840811703247923
84,FinalDataNewModelPickleFile_a\Model_36_Kernel_rbf_C_0.01_gamma_1000_decision_ovo_degree_2.pkl,0.25598239662602,0.8033841851812018,0.25598239662602,0.18989204360327633,0.7928645035830941,0.27040182636632537,0.1935934759856472,0.08575126723362214,0.20391102083224932,NA,0.27040182636632537
85,FinalDataNewModelPickleFile_a\Model_37_Kernel_poly_C_0.01_gamma_1000_decision_ovo_degree_2.pkl,0.7310442834876685,0.7888092922525056,0.7310442834876685,0.7354139036549837,0.7835153624834506,0.7363837710576033,0.7345045432584196,0.6651099461895424,0.6821120821790755,NA,0.7363837710576033
86,FinalDataNewModelPickleFile_a\Model_38_Kernel_sigmoid_C_0.01_gamma_1000_decision_ovo_degree_2.pkl,0.18969469148253415,0.2280144746072066,0.18969469148253415,0.16846249868355131,0.2246771052589945,0.19331636288544274,0.16816346981366834,-0.004790859048690255,-0.005522786263392622,NA,0.19331636288544274
87,FinalDataNewModelPickleFile_a\Model_39_Kernel_rbf_C_0.01_gamma_scale_decision_ovo_degree_2.pkl,0.6601723663702209,0.8703479407502434,0.6601723663702209,0.6752282628780005,0.860894540224802,0.6678330015096663,0.6737080570311795,0.5785341916974266,0.6404428174971394,NA,0.6678330015096663
88,FinalDataNewModelPickleFile_a\Model_3_Kernel_rbf_C_0.01_gamma_0.1_decision_ovo_degree_1.pkl,0.5921426606766297,0.8680023945099359,0.5921426606766297,0.6088413448894777,0.8574860130208103,0.6016059914679202,0.6080291355031048,0.4950603179318317,0.575431295510959,NA,0.6016059914679202
89,FinalDataNewModelPickleFile_a\Model_40_Kernel_poly_C_0.01_gamma_scale_decision_ovo_degree_2.pkl,0.5777940771981297,0.8643814261984428,0.5777940771981297,0.5972908609038263,0.8537164447246631,0.5875597653390944,0.596545752985217,0.4774662775498436,0.5604049595089005,NA,0.5875597653390944
90,FinalDataNewModelPickleFile_a\Model_41_Kernel_sigmoid_C_0.01_gamma_scale_decision_ovo_degree_2.pkl,0.30329146419730446,0.3828490035872351,0.30329146419730446,0.29733388728251353,0.37666307316623215,0.30784928131222383,0.29627563085680453,0.1355381318034089,0.14691634033289414,NA,0.30784928131222383
91,FinalDataNewModelPickleFile_a\Model_42_Kernel_rbf_C_0.01_gamma_0.01_decision_ovo_degree_3.pkl,0.4327037682222426,0.8605876512142429,0.4327037682222426,0.4529240481191555,0.8491497531541417,0.44349189564742436,0.4521106373220185,0.30005453387098513,0.4201789961274604,NA,0.44349189564742436
92,FinalDataNewModelPickleFile_a\Model_43_Kernel_poly_C_0.01_gamma_0.01_decision_ovo_degree_3.pkl,0.191986797469515,0.2415707543040772,0.191986797469515,0.07184465915084437,0.2372333548804137,0.20690418234122593,0.07612688513602121,0.008578740288395559,0.06561299082430397,NA,0.20690418234122593
93,FinalDataNewModelPickleFile_a\Model_44_Kernel_sigmoid_C_0.01_gamma_0.01_decision_ovo_degree_3.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
94,FinalDataNewModelPickleFile_a\Model_45_Kernel_rbf_C_0.01_gamma_0.1_decision_ovo_degree_3.pkl,0.5921426606766297,0.8680023945099359,0.5921426606766297,0.6088413448894777,0.8574860130208103,0.6016059914679202,0.6080291355031048,0.4950603179318317,0.575431295510959,NA,0.6016059914679202
95,FinalDataNewModelPickleFile_a\Model_46_Kernel_poly_C_0.01_gamma_0.1_decision_ovo_degree_3.pkl,0.431695241587971,0.8605268253748067,0.431695241587971,0.451696694294827,0.8490839369407756,0.4424616919480565,0.45085215528653927,0.29881974584857185,0.4191514083636437,NA,0.4424616919480565
96,FinalDataNewModelPickleFile_a\Model_47_Kernel_sigmoid_C_0.01_gamma_0.1_decision_ovo_degree_3.pkl,0.44494361419272027,0.5787604051834814,0.44494361419272027,0.4340067150211471,0.5676998225521179,0.44999285456308913,0.4290677503320019,0.31276116841922386,0.38220098758092425,NA,0.44999285456308913
97,FinalDataNewModelPickleFile_a\Model_48_Kernel_rbf_C_0.01_gamma_1_decision_ovo_degree_3.pkl,0.7590538186485744,0.8606237288111321,0.7590538186485744,0.7725046810067073,0.8536791084974096,0.7640467412652769,0.7704457507576856,0.700238950749799,0.7282152018316176,NA,0.7640467412652769
98,FinalDataNewModelPickleFile_a\Model_49_Kernel_poly_C_0.01_gamma_1_decision_ovo_degree_3.pkl,0.5710094434766664,0.7991098085788877,0.5710094434766664,0.5837382959422541,0.7891896901310637,0.5815581592196105,0.5838342294467056,0.46881341923931086,0.5325568590471126,NA,0.5815581592196105
99,FinalDataNewModelPickleFile_a\Model_4_Kernel_poly_C_0.01_gamma_0.1_decision_ovo_degree_1.pkl,0.36857064270651874,0.6612271110059283,0.36857064270651874,0.3516340899333637,0.6452881051331012,0.3779803058558065,0.34836069883700815,0.22160018729717024,0.35401046444786494,NA,0.3779803058558065
100,FinalDataNewModelPickleFile_a\Model_50_Kernel_sigmoid_C_0.01_gamma_1_decision_ovo_degree_3.pkl,0.2472723938754928,0.37020433942096137,0.2472723938754928,0.22662165104643595,0.36364810371093287,0.2546449367975228,0.22738412626363744,0.06809131964027837,0.07803906462981826,NA,0.2546449367975228
101,FinalDataNewModelPickleFile_a\Model_51_Kernel_rbf_C_0.01_gamma_10_decision_ovo_degree_3.pkl,0.9018978637572201,0.9184368604482578,0.9018978637572201,0.9043015922264385,0.91496665073676,0.9037889398933832,0.9032138245370245,0.877520154139924,0.8810728965823604,NA,0.9037889398933832
102,FinalDataNewModelPickleFile_a\Model_52_Kernel_poly_C_0.01_gamma_10_decision_ovo_degree_3.pkl,0.6949665352525901,0.7891455028510658,0.6949665352525901,0.7026640520183356,0.782919921682568,0.7012065208919407,0.7019669251824258,0.6205395034544532,0.6443843954952427,NA,0.7012065208919407
103,FinalDataNewModelPickleFile_a\Model_53_Kernel_sigmoid_C_0.01_gamma_10_decision_ovo_degree_3.pkl,0.18391858439534245,0.2616332938433667,0.18391858439534245,0.1478095678380964,0.25807514329385683,0.1908626822497163,0.14987706305119858,-0.010797220683704367,-0.012553568862161772,NA,0.1908626822497163
